titulo,autor,editora,categoria,vendas,paginas
"Mais esperto que o diabo","Napoleon Hill","Citadel","Autoajuda","","200"
"A sutil arte de ligar o foda-se","Mark Manson","Intrínseca","Autoajuda","","224"
"Do mil ao milhão","Thiago Nigro","HarperCollins","Negócios","","192"
"O milagre da manhã","Hal Elrod","BestSeller","Autoajuda","","196"
"Box Harry Potter","J. K. Rowling","Rocco","Infantojuvenil","","3.096"
"Decida vencer","Eduardo Volpato","Gente","Negócios","","208"
"O poder da autorresponsabilidade","Paulo Vieira","Gente","Negócios","","160"
"Seja foda!","Caio Carneiro","Buzz","Negócios","","208"
"Sol da meia-noite","Stephenie Meyer","Intrínseca","Ficção","","536"
"Os segredos da mente milionária","T. Harv Eker","Sextante","Negócios","","176"
"Mulheres que correm com os lobos (capa dura)","Clarissa Pinkola Estes","Rocco","Não ficção","","576"
"Pai rico, pai pobre - Edição de 20 anos","Robert T. Kiyosak","Alta Books Editora","Negócios","","336"
"Mindset","Carol Dweck","Objetiva","Não ficção","","328"
"A garota do lago","Charlie Donlea","Faro Editorial","Ficção","","296"
"DNA da cocriação","Elainne Ourives","Gente","Autoajuda","","288"
"O poder do hábito","Charles Duhigg","Objetiva","Autoajuda","","408"
"Escravidão -Vol 1","Laurentino Gomes","Globo Livros","Não ficção","","504"
"A revolução dos bichos","George Orwell","Companhia das Letras","Ficção","","156"
"21 lições para o século 21","Yuval Noah Harari","Companhia das Letras","Não ficção","","432"
"1984","George Orwell","Companhia das Letras","Ficção","","416"
