titulo,autor_vendas,editora,categoria,páginas,vendas
"É assim que acaba","Colleen Hoover","Galera Record","Ficção","368","127.884"
"Mais esperto que o diabo","Napoleon Hill","Citadel","Autoajuda","200","95.102"
"Nas pegadas da alemoa","Ilko Minev","Buzz","Ficção","176","90.273"
"Mulheres que correm com os lobos (capa dura)","Clarissa Pinkola Estes","Rocco","Não ficção","576","70.924"
"Amor & gelato","Jenna Evans Welch","Intrínseca","Ficção","320","69.170"
"É assim que começa","Colleen Hoover","Galera Record","Ficção","336","67.494"
"Torto arado","Itamar Vieira Junior","Todavia","Ficção","264","57.156"
"O poder da autorresponsabilidade","Paulo Vieira","Gente","Negócios","160","55.514"
"O poder da cura","Padre Reginaldo Manzotti","Petra","Autoajuda","176","52.358"
"Os sete maridos de Evelyn Hugo","Taylor Jenkins Reid","Paralela","Ficção","360","50.378"
"Minutos de sabedoria","C. Torres Pastorino","Vozes","Autoajuda","288","48.313"
"Os segredos da mente milionária","T. Harv Eker","Sextante","Negócios","176","45.685"
"Heartstopper: Dois garotos, um encontro","Alice Oseman","Seguinte","Infantojuvenil","288","45.242"
"Do mil ao milhão","Thiago Nigro","HarperCollins","Negócios","192","42.449"
"A hipótese do amor","Ali Hazelwood","Arqueiro","Ficção","336","41.507"
"Especialista em pessoas","Tiago Brunet","Academia","Autoajuda","224","41.070"
"Quem pensa enriquece: o legado","Napoleon Hill","Citadel","Negócios","364","40.096"
"A garota do lago","Charlie Donlea","Faro Editorial","Ficção","296","38.183"
"Todas as suas (im)perfeições","Colleen Hoover","Galera Record","Ficção","304","37.963"
"Vermelho, branco e sangue azul","Casey McQuiston","Seguinte","Infantojuvenil","392","37.052"
